dataset,fold,seed,model,graph_variant,auc,acc,rmse,nll,runtime
assist2012,0,2025,GIKT,E_pre_E_sim_E_co,0.5517,0.7066,N/A,0.6017,N/A
assist2012,0,2026,DKT,no_graph,0.6074,0.6828,N/A,0.6258,N/A
assist2012,0,2026,DKT,E_pre,0.6063,0.6858,N/A,0.6237,N/A
assist2012,0,2026,DKT,E_pre_E_sim,0.6093,0.6862,N/A,0.6177,N/A
assist2012,0,2026,DKT,E_pre_E_sim_E_co,0.608,0.6925,N/A,0.6192,N/A
assist2012,0,2026,simpleKT,no_graph,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2026,simpleKT,E_pre,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2026,simpleKT,E_pre_E_sim,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2026,simpleKT,E_pre_E_sim_E_co,0.5517,0.7066,N/A,0.6017,N/A
assist2012,0,2026,GKT,no_graph,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2026,GKT,E_pre,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2026,GKT,E_pre_E_sim,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2026,GKT,E_pre_E_sim_E_co,0.5517,0.7066,N/A,0.6017,N/A
assist2012,0,2026,GIKT,no_graph,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2026,GIKT,E_pre,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2026,GIKT,E_pre_E_sim,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2026,GIKT,E_pre_E_sim_E_co,0.5517,0.7066,N/A,0.6017,N/A
